 sorted:
6059: 0.1149332216
4639: 0.0575090106
5701: 0.0287969052
1533: 0.0287969052
6225: 0.0287969052
5354: 0.0287969052
6401: 0.0287969052
1192: 0.0287969052
6009: 0.0287969052
7621: 0.0287969052
5838: 0.0287969052
6634: 0.0057256626
6334: 0.0050096928
6946: 0.0043193144
6006: 0.0041047557
6330: 0.0036723682
2625: 0.0033479530
2398: 0.0029712186
4037: 0.0027626905
5412: 0.0026669010
4712: 0.0024553133
7632: 0.0024469117
3089: 0.0023887062
15: 0.0023772415
8042: 0.0023707116
3456: 0.0022646562
2066: 0.0021149812
3352: 0.0021060492
4191: 0.0020506275
8163: 0.0020503525
4828: 0.0020161941
3084: 0.0020057439
2328: 0.0019135492
737: 0.0019017555
6832: 0.0018199556
4310: 0.0018148244
1549: 0.0018017334
7092: 0.0017971448
2859: 0.0017903027
5563: 0.0017327886
1297: 0.0017309676
762: 0.0017100007
4335: 0.0016929457
4798: 0.0016289379
3238: 0.0016206244
5254: 0.0016103590
4735: 0.0015977824
7553: 0.0015958448
7882: 0.0015900592
7620: 0.0015685342
3873: 0.0015590274
5123: 0.0015506183
2746: 0.0015339817
4531: 0.0014819260
3260: 0.0014669942
2958: 0.0014335542
5404: 0.0014268704
3568: 0.0014233333
7809: 0.0014186168
7862: 0.0014095359
3537: 0.0013931057
5079: 0.0013758419
3498: 0.0013567601
1754: 0.0013477465
4875: 0.0013369673
825: 0.0013310469
3962: 0.0013044724
2565: 0.0013026995
3034: 0.0012938792
3334: 0.0012927538
4256: 0.0012839957
4040: 0.0012804541
6784: 0.0012715768
3897: 0.0012603144
5484: 0.0012484057
2576: 0.0012481068
993: 0.0012405460
5605: 0.0012365985
4981: 0.0012098621
2651: 0.0012005039
2485: 0.0011917884
3454: 0.0011833044
2516: 0.0011776042
5459: 0.0011739987
4400: 0.0011668453
5800: 0.0011511804
2535: 0.0011335271
3562: 0.0011309641
2237: 0.0011298741
2657: 0.0011247263
4983: 0.0011077269
3459: 0.0010932163
4661: 0.0010875878
5543: 0.0010788357
7214: 0.0010780730
3005: 0.0010775191
2594: 0.0010770486
3898: 0.0010706013
2871: 0.0010570047
7961: 0.0010501711
2117: 0.0010485352
6124: 0.0010433042
4099: 0.0010336990
5226: 0.0010316458
5022: 0.0010148799
4212: 0.0009972597
4827: 0.0009949890
6299: 0.0009870727
3321: 0.0009864672
4536: 0.0009659009
2585: 0.0009597342
3265: 0.0009593607
7908: 0.0009338393
6414: 0.0009321427
2144: 0.0009251749
5524: 0.0009193320
4071: 0.0009191580
1633: 0.0009182647
2940: 0.0009156647
2775: 0.0009148071
1310: 0.0009140779
7414: 0.0009103364
2658: 0.0009093346
2653: 0.0009069794
2134: 0.0008993411
2323: 0.0008911699
4103: 0.0008911382
1437: 0.0008859921
4578: 0.0008826818
5002: 0.0008806197
3394: 0.0008770176
3796: 0.0008726544
7021: 0.0008720150
2145: 0.0008669847
7860: 0.0008652464
3439: 0.0008601445
3770: 0.0008599100
3026: 0.0008472903
2223: 0.0008452314
6665: 0.0008402720
5028: 0.0008399377
3024: 0.0008393917
6913: 0.0008368661
4666: 0.0008344451
6004: 0.0008338966
4124: 0.0008334772
2504: 0.0008323540
5178: 0.0008270221
4792: 0.0008255570
4709: 0.0008251026
